0,C25,C24,C31,C32
ENSG00000113318.11,725,634,355,513
ENSG00000248967.1,0,0,0,0
ENSG00000244630.2,0,0,0,0
ENSG00000251450.2,7,0,1,0
ENSG00000113319.13,214,112,33,18
ENSG00000251001.1,0,0,0,0
ENSG00000249772.1,0,0,0,0
ENSG00000247572.8,126,254,156,220
ENSG00000131730.16,1,0,7,1
ENSG00000248794.1,4,7,3,4
ENSG00000131732.12,810,771,638,727
ENSG00000172497.9,0,0,0,0
ENSG00000286721.1,0,5,6,4
ENSG00000145687.16,554,2651,2160,1512
ENSG00000287938.1,0,1,0,0
ENSG00000249483.1,0,0,0,0
ENSG00000214857.4,0,0,1,0
ENSG00000152348.16,236,169,160,208
ENSG00000236447.2,0,0,0,1
ENSG00000251495.1,5,4,4,2
ENSG00000248192.1,0,0,0,0
ENSG00000265684.2,0,2,0,0
ENSG00000251374.1,0,1,0,0
ENSG00000186468.13,14444,26837,12077,17983
ENSG00000205464.12,42,114,89,97
ENSG00000248393.1,0,0,0,0
ENSG00000248870.1,0,0,0,0
ENSG00000249100.1,0,0,0,0
ENSG00000240411.2,0,0,0,0
ENSG00000248105.1,0,1,0,0
ENSG00000283359.1,0,0,0,0
ENSG00000281327.2,0,0,1,0
ENSG00000248112.1,0,0,0,1
ENSG00000249857.1,0,0,0,0
ENSG00000248400.2,0,0,0,0
ENSG00000249664.1,1,3,0,0
ENSG00000271862.1,17,9,15,7
ENSG00000174695.10,5860,5356,3503,4021
ENSG00000238835.1,1,3,1,0
ENSG00000152422.16,185,162,150,143
ENSG00000243385.2,0,0,0,0
ENSG00000251552.1,0,0,0,0
ENSG00000251395.1,0,0,0,0
ENSG00000038427.16,15039,6074,7090,3037
ENSG00000249835.2,0,0,0,0
ENSG00000145681.11,7525,828,43,1250
ENSG00000253073.1,0,0,0,0
ENSG00000206744.1,0,0,0,0
ENSG00000242858.1,1,0,0,0
ENSG00000202157.1,0,0,0,0
ENSG00000250013.1,0,0,0,0
ENSG00000164176.13,3854,4837,63,4394
ENSG00000252861.1,0,0,0,0
ENSG00000250320.6,96,137,3,156
ENSG00000214853.5,0,0,0,0
ENSG00000249349.1,0,0,0,0
ENSG00000248674.1,0,0,0,0
ENSG00000250253.3,0,0,0,0
ENSG00000249792.1,0,0,0,0
ENSG00000248170.1,0,0,0,0
ENSG00000248667.1,0,0,0,0
ENSG00000249023.1,0,0,0,0
ENSG00000249842.1,0,0,0,0
ENSG00000243859.3,0,2,0,4
ENSG00000251066.1,4,5,0,0
ENSG00000250874.1,0,0,0,0
ENSG00000241965.2,0,0,0,0
ENSG00000249153.1,0,0,0,0
ENSG00000250359.1,0,0,0,0
ENSG00000205449.11,0,0,0,0
ENSG00000280009.1,0,0,0,0
ENSG00000248195.1,0,0,0,0
ENSG00000248363.5,0,0,0,0
ENSG00000250124.1,0,0,0,0
ENSG00000251585.1,0,0,0,0
ENSG00000127184.13,2308,2915,2616,2543
ENSG00000284078.1,0,0,0,0
ENSG00000207013.1,0,0,0,0
ENSG00000250544.2,0,0,0,0
ENSG00000248701.1,1,0,0,0
ENSG00000242477.1,5,3,1,9
ENSG00000249061.1,0,0,0,0
ENSG00000233828.5,25,11,7,0
ENSG00000251951.1,0,0,0,0
ENSG00000265919.1,0,0,0,0
ENSG00000288569.1,0,0,0,0
ENSG00000145715.15,3946,2112,1258,1384
ENSG00000241243.3,0,0,0,0
ENSG00000207452.1,0,0,0,0
ENSG00000134480.16,790,590,557,538
ENSG00000285190.1,8,5,2,0
ENSG00000200462.1,0,0,0,0
ENSG00000249362.2,0,0,0,0
ENSG00000248708.2,0,0,0,0
ENSG00000287783.1,0,0,0,0
ENSG00000287862.1,0,0,0,0
ENSG00000164180.14,390,290,233,318
ENSG00000247828.8,348,429,457,442
ENSG00000207129.1,0,0,0,0
ENSG00000240083.2,0,1,0,0
ENSG00000206958.1,0,0,0,0
ENSG00000250306.1,0,0,0,0
ENSG00000250156.3,0,0,0,0
ENSG00000271904.1,0,0,0,0
ENSG00000245526.11,22,1,0,0
ENSG00000250705.1,0,0,0,0
ENSG00000284447.1,0,0,0,0
ENSG00000245864.3,0,1,3,11
ENSG00000250377.2,0,0,0,0
ENSG00000250555.2,0,0,0,0
ENSG00000081189.16,596,969,347,830
ENSG00000248309.7,15,22,13,37
ENSG00000250831.1,0,0,0,0
ENSG00000250437.1,0,0,0,0
ENSG00000214942.6,0,1,0,0
ENSG00000264342.3,0,0,0,0
ENSG00000248555.7,0,2,0,0
ENSG00000253321.1,0,0,0,0
ENSG00000260871.1,0,1,3,0
ENSG00000153140.9,428,391,350,342
ENSG00000255647.3,0,2,2,1
ENSG00000176055.10,612,429,418,394
ENSG00000113356.13,144,44,40,66
ENSG00000176018.13,1949,1082,894,1194
ENSG00000164199.18,3,60,115,45
ENSG00000249514.1,0,0,0,0
ENSG00000248323.7,6,8,12,24
ENSG00000285618.1,0,0,0,0
ENSG00000212930.3,0,0,0,0
ENSG00000251093.1,0,0,0,0
ENSG00000199643.1,0,0,0,0
ENSG00000234292.3,0,0,0,0
ENSG00000286638.1,1,1,0,1
ENSG00000277001.1,0,0,0,0
ENSG00000240388.2,0,0,1,0
ENSG00000241059.2,0,0,0,0
ENSG00000113369.9,1079,1536,1626,2574
ENSG00000281357.3,18,11,9,11
ENSG00000251356.1,0,0,0,0
ENSG00000286121.1,3,0,0,0
ENSG00000248826.2,0,0,0,0
ENSG00000276426.1,0,0,0,0
ENSG00000250049.7,0,2,0,0
ENSG00000249776.5,0,10,0,3
ENSG00000249169.1,0,0,0,0
ENSG00000249984.1,0,2,0,0
ENSG00000248588.2,0,0,0,0
ENSG00000248950.1,0,0,0,0
ENSG00000249958.1,0,0,0,0
ENSG00000248528.1,0,0,0,0
ENSG00000251361.1,1,3,2,0
ENSG00000286509.1,0,0,0,0
ENSG00000213730.3,0,0,2,1
ENSG00000237187.9,185,433,270,252
ENSG00000175745.14,259,1213,857,440
ENSG00000278905.1,0,0,0,0
ENSG00000113391.19,1222,1496,1056,865
ENSG00000284336.1,0,0,0,0
ENSG00000287180.1,0,0,0,0
ENSG00000249353.2,970,921,710,942
ENSG00000248483.7,3,8,6,2
ENSG00000272406.1,0,0,0,0
ENSG00000287447.1,0,0,0,0
ENSG00000251023.1,15,15,10,14
ENSG00000286577.1,0,0,0,0
ENSG00000185261.14,181,148,77,73
ENSG00000251544.1,1,0,0,0
ENSG00000254132.1,0,0,0,0
ENSG00000251340.1,0,0,0,0
ENSG00000232578.4,0,0,0,0
ENSG00000270133.1,2,1,0,3
ENSG00000133302.13,321,185,187,224
ENSG00000175471.19,652,782,751,835
ENSG00000249175.1,0,0,0,0
ENSG00000243806.1,1,2,2,1
ENSG00000276514.1,0,1,0,0
ENSG00000249545.1,0,0,0,0
ENSG00000153347.10,2,1,1,0
ENSG00000225165.3,1,0,2,1
ENSG00000198677.12,6102,4716,4212,4255
ENSG00000212259.1,0,0,0,0
ENSG00000164291.17,836,671,732,666
ENSG00000178015.5,4,1,8,4
ENSG00000175449.14,45,48,34,57
ENSG00000145757.16,7,12,7,12
ENSG00000250240.6,14,11,10,8
ENSG00000164292.13,4232,6805,3073,4288
ENSG00000173221.14,2899,1144,2757,2032
ENSG00000251348.1,8,11,1,2
ENSG00000251000.1,7,8,4,4
ENSG00000251409.1,0,0,0,0
ENSG00000236882.8,1,4,2,5
ENSG00000272021.1,1,0,2,0
ENSG00000250362.1,0,0,1,1
ENSG00000118985.16,2955,1496,1494,1311
ENSG00000251314.2,6,17,33,47
ENSG00000250955.1,0,0,0,0
ENSG00000213716.3,0,0,0,0
ENSG00000250551.1,1,1,0,0
ENSG00000207578.1,0,0,0,0
ENSG00000206997.1,0,0,0,0
ENSG00000249746.1,0,0,0,0
ENSG00000250158.1,0,0,0,0
ENSG00000175426.11,346,1830,759,860
ENSG00000153113.24,6485,8883,8816,6837
ENSG00000249180.1,0,0,5,0
ENSG00000164307.13,2084,5351,1801,2596
ENSG00000248734.2,8,6,8,8
ENSG00000272109.2,2,3,4,4
ENSG00000247121.7,16,15,22,15
ENSG00000164308.17,132,127,4883,2790
ENSG00000113441.16,1720,2854,1742,1814
ENSG00000227836.1,1,0,0,0
ENSG00000200884.1,0,0,0,0
ENSG00000213701.4,0,0,0,0
ENSG00000251513.2,0,3,0,2
ENSG00000145721.12,39,15,405,20
ENSG00000058729.11,1442,921,842,988
ENSG00000206698.1,1,2,3,0
ENSG00000286828.1,2,11,6,3
ENSG00000248758.1,0,0,0,0
ENSG00000251054.1,0,0,0,0
ENSG00000249761.1,0,0,0,0
ENSG00000251389.1,0,0,0,0
ENSG00000249977.1,0,0,0,0
ENSG00000250331.2,0,4,1,0
ENSG00000248931.1,0,0,0,0
ENSG00000251193.1,0,1,0,0
ENSG00000286953.1,0,0,0,0
ENSG00000248202.2,4,22,3,7
ENSG00000249101.1,0,0,0,0
ENSG00000248901.2,0,0,0,0
ENSG00000249135.1,0,0,0,0
ENSG00000238000.1,13,7,9,11
ENSG00000176183.8,0,0,0,0
ENSG00000250221.1,0,0,0,0
ENSG00000250830.1,0,0,0,0
ENSG00000249990.1,0,0,0,0
ENSG00000249448.1,0,0,0,1
ENSG00000251102.1,6,8,6,4
ENSG00000251553.1,0,0,0,0
ENSG00000174136.13,1514,2065,1121,1486
ENSG00000246763.7,17,5,12,2
ENSG00000279232.2,1,5,3,5
ENSG00000250162.1,0,0,0,0
ENSG00000153922.11,2062,1963,1270,1612
ENSG00000222610.1,0,0,0,0
ENSG00000248489.2,19,19,18,21
ENSG00000200351.1,0,0,0,0
ENSG00000241597.2,0,5,2,2
ENSG00000249444.2,0,0,0,0
ENSG00000206356.5,0,0,0,0
ENSG00000227762.4,0,0,0,0
ENSG00000249515.1,0,0,0,0
ENSG00000248236.1,0,0,0,0
ENSG00000248928.1,0,0,0,0
ENSG00000250391.1,0,0,0,0
ENSG00000249963.1,0,0,0,0
ENSG00000199378.1,0,0,0,0
ENSG00000270232.1,0,0,0,0
ENSG00000270230.1,0,0,0,0
ENSG00000271687.1,0,0,0,0
ENSG00000270906.1,1,0,2,0
ENSG00000270350.1,0,0,0,0
ENSG00000271480.1,0,0,0,0
ENSG00000270388.1,0,0,0,0
ENSG00000270307.1,0,2,0,3
ENSG00000270225.1,2,1,1,3
ENSG00000271207.1,1,1,3,7
ENSG00000274455.1,0,0,0,0
ENSG00000207077.1,0,0,0,0
ENSG00000275374.1,2,1,0,5
ENSG00000273957.1,0,0,0,0
ENSG00000249787.2,0,0,0,0
ENSG00000247877.7,3,3,1,0
ENSG00000174132.9,466,337,334,352
ENSG00000250806.2,0,0,0,0
ENSG00000207269.1,0,0,0,0
ENSG00000113532.13,5,88,0,152
ENSG00000221263.1,0,0,0,0
ENSG00000277506.1,0,0,0,0
ENSG00000251261.4,0,0,0,0
ENSG00000249495.1,0,0,0,0
ENSG00000199786.1,0,0,0,0
ENSG00000248261.2,0,0,0,0
ENSG00000173930.9,33,54,1,83
ENSG00000222987.1,0,0,0,0
ENSG00000205359.10,3,16,0,4
ENSG00000249017.1,0,0,0,0
ENSG00000250958.1,0,0,0,0
ENSG00000250682.6,25,96,14,47
ENSG00000247402.2,0,0,0,0
ENSG00000286338.1,0,0,0,0
ENSG00000145730.20,3366,17158,7407,7831
ENSG00000175749.11,0,1,0,3
ENSG00000145723.17,162,201,182,175
ENSG00000145725.20,3495,2495,1719,2220
ENSG00000248203.1,0,0,0,0
ENSG00000181751.10,399,300,566,303
ENSG00000250567.1,0,0,0,0
ENSG00000226926.7,0,0,1,1
ENSG00000248757.2,0,1,1,0
ENSG00000112874.10,465,573,484,396
ENSG00000283462.2,0,2,0,1
ENSG00000251026.2,0,0,2,0
ENSG00000201910.1,0,0,0,0
ENSG00000239808.3,0,0,0,0
ENSG00000251574.8,0,0,0,0
ENSG00000278958.1,0,0,0,0
ENSG00000253776.1,0,0,0,0
ENSG00000252881.1,0,0,0,0
ENSG00000253584.1,0,1,0,1
ENSG00000232159.3,0,0,0,0
ENSG00000201790.1,0,0,0,0
ENSG00000251204.1,0,0,0,1
ENSG00000250145.1,0,0,0,0
ENSG00000252337.1,0,0,0,0
ENSG00000251027.2,0,0,0,1
ENSG00000250273.1,1,0,1,0
ENSG00000184349.13,333,1688,1652,2369
ENSG00000249959.6,0,4,0,1
ENSG00000248827.1,2,1,3,1
ENSG00000239708.3,0,0,0,0
ENSG00000251732.1,0,0,0,0
ENSG00000145743.17,1065,962,493,694
ENSG00000286503.1,1,5,2,0
ENSG00000244245.1,6,13,17,11
ENSG00000272523.1,10,7,12,16
ENSG00000151422.13,1252,1115,608,761
ENSG00000249921.2,2,1,0,1
ENSG00000250383.1,0,0,0,0
ENSG00000207404.1,0,0,0,0
ENSG00000250441.1,0,0,0,0
ENSG00000206593.1,0,0,0,0
ENSG00000176857.5,2,5,11,4
ENSG00000286882.1,2,3,0,1
ENSG00000249476.2,21,20,15,22
ENSG00000198961.10,7319,8449,6989,7224
ENSG00000248867.1,0,0,0,0
ENSG00000251367.1,0,0,0,0
ENSG00000248876.1,0,0,0,0
ENSG00000248440.1,0,0,0,0
ENSG00000214794.4,0,0,0,0
ENSG00000271849.1,2,5,2,2
ENSG00000112893.9,3818,3825,2935,2433
ENSG00000202512.1,0,0,0,0
ENSG00000249068.1,1,0,0,0
ENSG00000254106.1,0,1,0,0
ENSG00000253224.1,0,0,0,0
ENSG00000186952.15,26,27,13,17
ENSG00000221436.1,0,0,0,0
ENSG00000207177.1,0,0,0,0
ENSG00000164209.17,2174,1973,1512,1627
ENSG00000270779.1,0,0,0,0
ENSG00000248966.1,2,5,5,0
ENSG00000248428.1,0,0,0,0
ENSG00000251627.1,0,0,0,0
ENSG00000145777.15,4,14,3,21
ENSG00000253613.2,0,0,0,0
ENSG00000134987.11,1625,1302,745,1075
ENSG00000250728.1,0,0,0,0
ENSG00000214784.4,121,178,181,224
ENSG00000152495.11,1076,156,147,200
ENSG00000249318.1,0,0,0,0
ENSG00000248268.1,0,0,0,0
ENSG00000164211.13,2370,854,1591,1922
ENSG00000246859.3,20,10,22,20
ENSG00000249619.1,4,0,0,0
ENSG00000251099.2,0,0,0,0
ENSG00000134986.14,11012,3339,2909,2912
ENSG00000253057.1,1,0,0,0
ENSG00000249439.1,0,0,0,0
ENSG00000250095.5,0,0,0,0
ENSG00000129595.14,41,209,524,307
ENSG00000224032.7,441,637,524,612
ENSG00000238363.1,2,5,1,0
ENSG00000250882.1,0,0,0,0
ENSG00000251187.5,0,0,0,0
ENSG00000251076.1,1,100,249,41
ENSG00000248350.1,0,0,0,0
ENSG00000278921.2,7,17,18,14
ENSG00000248430.1,0,0,0,0
ENSG00000251014.1,0,0,0,0
ENSG00000250358.6,0,0,0,0
ENSG00000134982.17,1948,1654,1192,1257
ENSG00000250045.2,0,0,0,0
ENSG00000212370.1,0,0,0,0
ENSG00000258864.1,0,0,0,0
ENSG00000153037.15,508,454,317,373
ENSG00000129625.13,2982,4469,3223,2918
ENSG00000249947.2,4,1,1,5
ENSG00000212643.3,0,0,0,0
ENSG00000172795.17,818,1050,725,951
ENSG00000171444.18,1199,2584,1725,1080
ENSG00000232633.4,1,9,5,0
ENSG00000212122.4,0,0,0,0
ENSG00000251741.1,0,0,0,0
ENSG00000047188.16,1226,975,743,932
ENSG00000286839.1,0,0,0,1
ENSG00000080709.16,1,3,0,7
ENSG00000222706.1,0,0,0,0
ENSG00000246316.8,1,0,0,0
ENSG00000251542.1,0,0,0,0
ENSG00000251132.1,0,0,0,0
ENSG00000250242.1,0,0,0,0
ENSG00000152503.10,40,4,3,10
ENSG00000250472.1,0,0,0,0
ENSG00000249791.1,0,0,0,0
ENSG00000164219.10,974,751,527,558
ENSG00000271797.1,22,30,19,13
ENSG00000243304.3,0,0,0,0
ENSG00000164221.13,348,148,148,183
ENSG00000250197.1,1,0,0,0
ENSG00000249026.2,2,4,5,6
ENSG00000248722.1,0,0,0,0
ENSG00000249944.1,0,0,0,0
ENSG00000249433.1,0,0,0,0
ENSG00000250444.1,8,3,5,4
ENSG00000145780.8,1108,1454,1246,1135
ENSG00000243414.6,28,10,2,7
ENSG00000251201.8,1,2,2,2
ENSG00000249249.2,5,50,12,29
ENSG00000134970.14,3713,3516,2207,2844
ENSG00000249021.1,0,0,0,0
ENSG00000248709.3,0,1,0,1
ENSG00000251118.1,0,0,0,0
ENSG00000222598.1,0,0,0,0
ENSG00000129596.5,220,4122,6870,2571
ENSG00000145782.13,2484,3137,2573,2562
ENSG00000177879.17,3390,4082,3589,3132
ENSG00000287148.1,0,0,0,0
ENSG00000172901.20,16,6,9,2
ENSG00000248295.2,0,0,0,0
ENSG00000268223.5,0,0,0,0
ENSG00000185641.6,153,235,194,243
ENSG00000272265.1,0,0,0,0
ENSG00000271918.1,14,23,48,30
ENSG00000145781.9,537,553,382,381
ENSG00000212457.1,0,0,0,0
ENSG00000232916.1,0,0,0,0
ENSG00000250015.1,0,0,0,0
ENSG00000092421.17,340,1102,589,1114
ENSG00000248445.5,5,12,11,17
ENSG00000239528.1,25,22,19,22
ENSG00000249167.2,0,2,2,1
ENSG00000197575.6,1,0,1,0
ENSG00000251311.1,0,0,0,0
ENSG00000249150.2,0,0,0,0
ENSG00000250650.1,0,0,0,0
ENSG00000250949.1,0,0,0,0
ENSG00000243758.1,0,0,0,0
ENSG00000285809.1,0,0,0,0
ENSG00000248663.6,0,1,1,2
ENSG00000251477.1,0,0,0,0
ENSG00000249797.2,0,0,0,0
ENSG00000249582.1,0,0,0,0
ENSG00000250891.2,8,1,58,8
ENSG00000250427.1,0,0,0,0
ENSG00000249551.1,0,0,0,0
ENSG00000286745.1,0,0,0,0
ENSG00000249128.1,0,0,0,0
ENSG00000238904.1,0,0,0,0
ENSG00000249426.1,0,0,0,1
ENSG00000169570.10,460,590,363,476
ENSG00000197744.5,168,157,127,196
ENSG00000283498.1,44,67,29,67
ENSG00000249494.6,1,2,9,8
ENSG00000223179.3,0,0,0,0
ENSG00000250678.1,0,0,0,0
ENSG00000250928.1,0,0,0,0
ENSG00000172869.14,1885,2263,1064,1478
ENSG00000248885.1,0,0,0,0
ENSG00000248979.2,0,0,0,0
ENSG00000206786.1,0,0,0,0
ENSG00000264536.1,0,0,0,1
ENSG00000145779.8,605,1412,1504,1045
ENSG00000243333.3,0,0,0,0
ENSG00000202092.1,0,0,0,0
ENSG00000133835.17,3008,3192,4118,3196
ENSG00000213663.4,0,0,0,0
ENSG00000249919.1,0,0,0,0
ENSG00000164334.15,0,0,0,1
ENSG00000250895.1,0,0,0,0
ENSG00000234259.3,0,0,0,0
ENSG00000251293.1,0,1,0,0
ENSG00000251975.1,0,1,0,0
ENSG00000261036.2,2,9,2,2
ENSG00000184838.15,370,612,3013,457
ENSG00000270741.1,0,0,0,0
ENSG00000222609.1,0,0,0,0
ENSG00000248927.1,20,11,49,4
ENSG00000251135.2,0,0,0,0
ENSG00000248853.1,0,0,0,0
ENSG00000229855.9,1,1,0,1
ENSG00000250847.1,0,0,0,0
ENSG00000279860.1,0,0,0,0
ENSG00000244088.1,0,0,0,0
ENSG00000213661.3,0,0,0,0
ENSG00000249600.1,0,0,0,0
ENSG00000181867.3,0,0,0,0
ENSG00000151304.6,465,467,284,348
ENSG00000113083.14,19648,20728,11476,11220
ENSG00000247311.3,2,1,0,1
ENSG00000164185.6,3,22,6,16
ENSG00000250803.6,0,2,1,0
ENSG00000249610.1,0,0,0,0
ENSG00000272139.1,0,1,3,1
ENSG00000064692.20,1490,4218,2749,3282
ENSG00000249621.1,0,0,0,0
ENSG00000249916.1,0,0,0,0
ENSG00000287794.1,0,1,2,2
ENSG00000250328.6,0,0,3,1
ENSG00000251538.7,0,0,1,1
ENSG00000240058.3,0,0,0,0
ENSG00000205302.7,1733,2721,2964,2446
ENSG00000260686.1,0,0,0,0
ENSG00000064652.11,698,253,308,322
ENSG00000263432.2,25,54,30,13
ENSG00000168938.6,2649,3788,3691,2426
ENSG00000249996.1,27,8,14,10
ENSG00000276047.1,1,0,0,0
ENSG00000223652.2,13,1,0,0
ENSG00000061455.11,46,13,38,28
ENSG00000213655.4,0,0,0,0
ENSG00000168944.17,1152,1032,688,691
ENSG00000250539.1,13,7,7,13
ENSG00000249400.1,0,0,0,0
ENSG00000279772.1,0,2,0,1
ENSG00000151292.17,1858,1568,1039,1116
ENSG00000235275.3,0,0,0,0
ENSG00000253807.6,1,2,4,0
ENSG00000250862.1,0,0,0,0
ENSG00000251421.2,0,0,0,0
ENSG00000248600.2,0,0,0,0
ENSG00000251214.1,0,0,0,0
ENSG00000250438.1,0,0,0,0
ENSG00000248296.1,0,0,0,0
ENSG00000168916.15,440,1019,1061,748
ENSG00000249112.1,0,0,0,0
ENSG00000251456.1,0,1,0,0
ENSG00000242814.2,2,4,6,11
ENSG00000260192.3,0,0,1,2
ENSG00000248443.1,0,0,0,0
ENSG00000249261.1,0,0,0,0
ENSG00000288008.1,0,0,0,0
ENSG00000250194.1,0,0,0,0
ENSG00000250721.1,0,0,0,0
ENSG00000248752.3,1,3,0,2
ENSG00000222107.1,0,0,0,0
ENSG00000250402.2,0,0,0,0
ENSG00000286111.1,0,0,0,0
ENSG00000249950.1,0,0,0,0
ENSG00000249904.1,0,0,0,0
ENSG00000241888.2,0,0,0,0
ENSG00000248107.2,0,0,0,0
ENSG00000155324.10,1479,2174,912,702
ENSG00000250602.6,0,0,0,0
ENSG00000279118.1,139,236,79,86
ENSG00000164904.18,2540,1964,1456,1690
ENSG00000202082.2,0,0,0,0
ENSG00000164902.14,1846,2225,1237,1319
ENSG00000230929.5,0,0,0,0
ENSG00000196900.5,0,1,0,0
ENSG00000213630.3,1,0,0,1
ENSG00000249768.2,0,0,0,0
ENSG00000251072.2,0,0,1,0
ENSG00000252185.1,0,0,0,0
ENSG00000113368.12,1697,338,340,1397
ENSG00000173926.6,150,96,62,129
ENSG00000164241.13,21,27,67,71
ENSG00000279446.1,0,1,0,0
ENSG00000214743.4,0,0,0,0
ENSG00000250080.1,0,0,0,0
ENSG00000271585.1,0,0,0,0
ENSG00000250956.1,0,0,0,0
ENSG00000283897.2,5,26,19,14
ENSG00000286615.1,7,13,6,15
ENSG00000145794.17,628,879,384,430
ENSG00000249577.1,6,3,2,6
ENSG00000271766.1,0,0,0,0
ENSG00000250859.1,10,9,25,16
ENSG00000164244.21,5139,3726,3023,3690
ENSG00000282925.1,0,0,0,0
ENSG00000205279.8,0,1,0,2
ENSG00000248799.1,0,0,0,0
ENSG00000230561.4,0,28,0,5
ENSG00000251032.1,3,4,2,4
ENSG00000250603.1,0,0,0,0
ENSG00000245937.8,425,724,513,477
ENSG00000064651.14,1105,2296,927,1188
ENSG00000250329.1,3,2,1,2
ENSG00000138829.12,136247,134503,46284,67883
ENSG00000207290.1,0,0,0,0
ENSG00000113396.13,53,25,11,15
ENSG00000248634.1,2,1,0,0
ENSG00000066583.12,433,649,716,423
ENSG00000264563.1,0,0,0,0
ENSG00000286274.1,0,0,0,0
ENSG00000265691.1,0,0,0,0
ENSG00000249421.2,1,6,0,0
ENSG00000145808.10,13,22,2,6
ENSG00000251680.6,6,3,6,5
ENSG00000186367.7,0,0,0,0
ENSG00000198108.4,1901,1537,1112,1144
ENSG00000221562.1,0,2,1,1
ENSG00000199455.1,0,0,0,0
ENSG00000248610.1,16,47,37,37
ENSG00000252514.1,0,0,0,0
ENSG00000249312.1,0,0,0,0
ENSG00000249418.2,0,0,0,0
ENSG00000287390.1,0,3,2,1
ENSG00000244192.1,1,2,3,1
ENSG00000250405.2,0,0,0,0
ENSG00000248955.1,0,0,0,0
ENSG00000169567.13,5061,4604,5213,5443
ENSG00000186687.16,776,911,508,685
ENSG00000158985.13,767,886,547,717
ENSG00000279370.1,0,0,0,0
ENSG00000158987.22,129,206,143,183
ENSG00000273217.1,0,0,0,0
ENSG00000275939.1,0,0,0,0
ENSG00000217128.12,1036,2499,1489,1870
ENSG00000286676.1,0,4,0,1
ENSG00000279584.1,0,1,1,0
ENSG00000239642.6,0,0,0,0
ENSG00000281938.2,0,0,0,0
ENSG00000234758.1,0,0,0,0
ENSG00000164398.15,0,0,0,0
ENSG00000223548.1,0,0,0,0
ENSG00000231585.1,0,0,0,0
ENSG00000164399.5,0,0,0,0
ENSG00000164400.6,0,0,0,0
ENSG00000253067.1,0,0,0,0
ENSG00000227616.1,0,0,0,0
ENSG00000235775.1,0,0,0,0
ENSG00000224015.1,0,0,0,0
ENSG00000237714.1,0,0,0,0
ENSG00000072682.18,6283,4789,1636,2789
ENSG00000224431.1,0,0,0,0
ENSG00000283678.1,0,0,0,0
ENSG00000131435.13,2794,1193,1846,1419
ENSG00000197208.6,205,110,187,91
ENSG00000233006.8,34,66,65,67
ENSG00000263597.1,0,0,0,0
ENSG00000197375.13,234,339,481,465
ENSG00000197536.11,76,170,156,113
ENSG00000283782.2,0,0,0,0
ENSG00000238160.1,0,0,4,0
ENSG00000202533.1,0,2,11,2
ENSG00000234290.2,1,1,3,0
ENSG00000125347.14,700,667,786,613
ENSG00000113525.10,0,0,0,0
ENSG00000113522.14,76,166,74,86
ENSG00000223442.1,0,0,0,0
ENSG00000169194.9,0,1,0,1
ENSG00000113520.11,0,0,0,0
ENSG00000230612.3,0,0,0,0
ENSG00000131437.15,982,789,410,431
ENSG00000205089.8,0,0,0,0
ENSG00000164402.14,2487,2713,1435,1784
ENSG00000198944.6,0,2,0,0
ENSG00000272203.1,1,0,1,0
ENSG00000164403.14,149,43,70,78
ENSG00000201274.1,0,0,0,0
ENSG00000164404.8,13,7,13,10
ENSG00000164405.11,1967,1618,1753,1727
ENSG00000164406.8,8,9,16,8
ENSG00000072364.13,9260,8615,4987,5529
ENSG00000235253.1,0,0,0,0
ENSG00000202417.1,0,0,0,0
ENSG00000225364.1,0,0,0,0
ENSG00000272023.1,0,2,4,1
ENSG00000229738.1,0,1,1,0
ENSG00000199677.1,0,0,0,0
ENSG00000155329.12,508,614,383,413
ENSG00000248648.1,0,0,0,0
ENSG00000287054.1,0,1,1,1
ENSG00000286408.1,7,11,14,6
ENSG00000170606.15,6143,6201,4901,4841
ENSG00000279691.1,1,0,0,3
ENSG00000251616.1,0,0,0,0
ENSG00000248245.1,0,0,0,0
ENSG00000240611.1,0,0,0,0
ENSG00000053108.17,1,2,4,0
ENSG00000249478.1,0,0,0,0
ENSG00000250244.5,0,0,0,0
ENSG00000250409.1,0,0,0,0
ENSG00000221287.1,0,0,0,0
ENSG00000280104.1,0,0,0,0
ENSG00000279197.1,0,0,0,0
ENSG00000251243.1,0,0,0,0
ENSG00000249073.1,0,0,0,0
ENSG00000113583.8,4055,3826,3207,2879
ENSG00000213585.11,6575,4180,3265,4251
ENSG00000271737.1,10,9,11,20
ENSG00000271128.1,0,0,0,0
ENSG00000081059.20,39,76,48,32
ENSG00000113558.19,3475,2837,3407,2663
ENSG00000272772.1,0,0,0,0
ENSG00000113575.10,3622,3210,2759,2819
ENSG00000273345.5,5,2,2,0
ENSG00000266751.1,5,1,7,9
ENSG00000270177.1,7,5,5,4
ENSG00000239615.1,0,0,0,0
ENSG00000006837.12,29,21,23,16
ENSG00000119048.8,1104,2061,1430,1686
ENSG00000279469.1,0,2,2,1
ENSG00000248559.1,0,3,0,1
ENSG00000237190.4,457,501,331,423
ENSG00000243648.1,0,2,1,1
ENSG00000250564.2,0,0,1,0
ENSG00000250994.1,1,0,0,0
ENSG00000207222.1,0,0,0,0
ENSG00000251169.2,0,0,0,3
ENSG00000240250.3,0,0,0,0
ENSG00000280420.1,0,0,3,0
ENSG00000043143.20,1079,1746,1265,1197
ENSG00000152700.14,1902,1804,1351,1539
ENSG00000207459.1,0,0,0,0
ENSG00000113615.13,4026,3006,1947,2679
ENSG00000201298.1,0,0,0,0
