0,P2,P2 w/ testosterone,P5,P5 w/ testosterone,P11,P12,P12 w/ testosterone
ENSG00000211626.2,0,0,0,0,0,0,0
ENSG00000242766.1,0,0,0,0,0,0,0
ENSG00000241244.1,0,0,0,0,0,0,0
ENSG00000224041.3,0,0,0,0,0,0,0
ENSG00000254292.1,0,0,0,0,0,0,0
ENSG00000276566.1,0,0,0,0,0,0,0
ENSG00000278857.1,0,0,0,0,0,0,0
ENSG00000211632.4,0,0,0,0,0,0,0
ENSG00000253906.1,0,0,0,0,0,0,0
ENSG00000211633.3,0,0,0,0,0,0,0
ENSG00000242580.1,0,0,0,0,0,0,0
ENSG00000239819.2,0,0,0,0,0,0,0
ENSG00000228325.5,0,0,0,0,0,0,0
ENSG00000275490.1,0,0,0,0,0,0,0
ENSG00000270999.1,0,0,0,0,0,0,0
ENSG00000265897.2,0,0,0,0,0,0,0
ENSG00000281904.1,0,0,0,0,0,0,1
ENSG00000230964.1,0,0,0,2,0,4,1
ENSG00000261600.1,0,5,13,29,22,28,20
ENSG00000278131.1,0,0,0,0,0,2,0
ENSG00000143429.10,259,328,103,281,385,456,535
ENSG00000222835.1,0,0,0,0,0,0,0
ENSG00000184303.5,0,0,0,0,0,0,0
ENSG00000230572.5,0,0,0,0,0,0,0
ENSG00000271627.1,0,0,0,0,0,0,0
ENSG00000223703.1,0,8,0,3,2,1,2
ENSG00000232531.3,0,5,2,4,7,19,15
ENSG00000286698.1,1,0,0,0,1,0,0
ENSG00000236969.2,6,10,2,9,4,14,9
ENSG00000235235.6,0,0,0,0,0,0,0
ENSG00000214330.4,0,0,0,0,0,0,0
ENSG00000237085.2,0,0,0,0,0,0,0
ENSG00000227497.1,0,0,0,0,0,0,0
ENSG00000214329.7,0,0,0,0,0,0,0
ENSG00000226481.3,0,0,0,0,0,0,0
ENSG00000234898.1,0,0,0,0,0,0,0
ENSG00000235147.1,0,0,0,0,0,0,0
ENSG00000223816.5,0,0,0,0,0,0,0
ENSG00000286156.1,90,91,31,74,51,136,165
ENSG00000261522.5,0,0,0,0,0,0,0
ENSG00000259916.1,0,0,0,0,0,0,0
ENSG00000237383.1,0,0,0,0,0,0,0
ENSG00000227265.2,0,0,0,0,0,0,0
ENSG00000213355.3,0,0,0,0,0,0,0
ENSG00000234837.1,0,0,0,0,0,0,0
ENSG00000223564.1,0,0,0,0,0,0,0
ENSG00000232502.1,0,0,0,0,0,0,0
ENSG00000235571.1,0,0,0,0,0,0,0
ENSG00000229089.8,0,0,0,0,0,0,0
ENSG00000212140.1,0,0,0,0,0,0,0
ENSG00000278631.1,0,0,0,0,0,0,0
ENSG00000259848.9,0,0,0,0,0,0,0
ENSG00000163060.8,0,0,0,0,0,1,0
ENSG00000237055.1,0,0,0,0,0,0,0
ENSG00000232128.1,0,0,0,0,0,0,0
ENSG00000233158.1,0,0,0,0,0,0,0
ENSG00000231331.1,0,0,0,0,0,0,0
ENSG00000232594.1,0,0,0,0,0,0,0
ENSG00000233105.1,0,0,0,0,0,0,0
ENSG00000224585.1,0,0,0,0,0,0,0
ENSG00000233447.1,0,0,0,0,0,0,0
ENSG00000235186.1,0,0,0,0,0,0,0
ENSG00000277591.1,0,0,0,0,0,0,0
ENSG00000233850.1,0,0,0,0,0,0,0
ENSG00000172005.11,0,0,0,0,0,0,0
ENSG00000231062.1,0,0,0,0,0,0,0
ENSG00000287362.1,0,3,0,0,0,0,1
ENSG00000144029.12,978,989,453,1013,986,1791,1712
ENSG00000144026.12,377,614,218,628,439,591,628
ENSG00000275111.5,201,168,88,199,214,285,269
ENSG00000275768.1,0,0,0,0,0,0,0
ENSG00000233757.6,17,42,14,61,54,57,54
ENSG00000155066.16,17,17,8,34,26,21,23
ENSG00000115041.13,189,168,39,93,246,204,193
ENSG00000235129.1,0,0,0,0,0,0,0
ENSG00000115042.10,521,601,251,596,483,766,747
ENSG00000248821.1,1,1,0,2,0,0,0
ENSG00000233275.1,0,1,0,0,0,6,1
ENSG00000227120.1,0,0,0,0,0,1,0
ENSG00000204705.3,0,0,0,0,0,0,0
ENSG00000277747.1,0,0,0,0,0,0,0
ENSG00000234903.1,0,0,0,0,0,0,0
ENSG00000144010.9,0,0,0,0,0,0,0
ENSG00000238162.1,0,0,0,0,0,0,0
ENSG00000223917.1,0,0,0,0,0,0,0
ENSG00000237308.1,0,0,0,0,0,0,0
ENSG00000224719.1,0,0,0,0,0,0,0
ENSG00000226185.2,0,0,0,0,0,0,0
ENSG00000272913.1,0,0,0,0,0,0,0
ENSG00000229689.3,0,0,0,0,0,0,0
ENSG00000236431.1,0,0,0,0,0,0,0
ENSG00000273305.1,0,0,0,0,0,0,0
ENSG00000233037.2,0,0,0,0,0,0,0
ENSG00000168992.4,0,0,0,0,0,0,0
ENSG00000232717.2,0,0,0,0,0,0,1
ENSG00000274028.1,0,0,0,0,0,0,0
ENSG00000230083.1,0,0,0,0,0,0,0
ENSG00000144015.5,0,0,0,0,0,1,1
ENSG00000236026.1,0,0,0,0,0,0,0
ENSG00000271003.1,0,0,0,0,0,0,0
ENSG00000270193.1,0,0,0,0,0,0,0
ENSG00000204699.4,0,0,0,0,0,0,0
ENSG00000275497.1,0,0,0,0,0,0,0
ENSG00000235959.1,0,0,0,0,0,0,0
ENSG00000236750.1,0,0,0,2,0,1,2
ENSG00000235584.3,0,0,0,0,0,0,1
ENSG00000237510.7,0,0,0,0,0,0,0
ENSG00000232931.6,590,1256,443,1553,757,1111,1358
ENSG00000174501.14,48,197,45,264,104,337,329
ENSG00000275961.1,0,0,0,0,0,0,0
ENSG00000231584.8,115,99,43,85,99,156,197
ENSG00000186281.12,0,0,0,0,0,0,0
ENSG00000274286.2,2,1,0,2,1,0,1
ENSG00000188886.3,2,1,0,0,0,0,0
ENSG00000158050.5,329,328,97,253,94,2,10
ENSG00000228873.1,0,0,0,0,0,0,0
ENSG00000084090.13,2388,2405,1003,2108,2262,5216,5627
ENSG00000204685.7,122,160,51,176,148,305,359
ENSG00000135956.9,2795,2683,1204,2640,2458,2970,2771
ENSG00000144021.3,1880,2034,817,1898,1879,2550,2745
ENSG00000144028.15,5607,6945,2964,6978,6641,6625,6818
ENSG00000230747.1,1,1,0,0,0,0,0
ENSG00000198885.9,43,43,24,53,63,0,1
ENSG00000121152.10,144,168,54,95,259,9,14
ENSG00000163121.10,6,4,1,4,1,0,2
ENSG00000235480.1,0,1,4,2,0,0,0
ENSG00000196843.17,302,286,205,403,347,208,203
ENSG00000114982.19,2180,2442,1037,2312,2347,2301,2401
ENSG00000249715.12,1,2,0,1,0,4,3
ENSG00000114988.12,872,781,440,799,919,1002,1112
ENSG00000158158.12,493,582,195,517,498,717,701
ENSG00000264157.3,0,0,0,0,0,0,0
ENSG00000273265.1,2,3,2,8,6,2,3
ENSG00000168763.16,669,783,370,738,1064,467,468
ENSG00000163126.15,15,18,6,31,14,20,24
ENSG00000213337.9,47,46,24,65,37,48,73
ENSG00000168758.11,982,1165,603,1238,1317,937,898
ENSG00000168754.15,6,2,1,2,0,1,0
ENSG00000286654.1,0,0,1,0,0,0,0
ENSG00000274206.1,0,0,0,0,0,0,0
ENSG00000252845.1,0,0,0,0,0,0,0
ENSG00000275094.1,0,0,0,0,0,0,0
ENSG00000273634.1,0,0,0,0,0,0,0
ENSG00000248134.1,0,0,0,0,0,0,0
ENSG00000144188.9,0,0,0,0,0,0,0
ENSG00000230343.1,0,0,0,0,0,0,0
ENSG00000236847.1,0,0,0,0,0,0,0
ENSG00000270748.1,0,0,0,0,0,0,0
ENSG00000271402.1,0,0,0,0,0,0,0
ENSG00000204670.7,0,0,0,0,0,0,0
ENSG00000188383.8,0,0,0,0,0,0,1
ENSG00000144199.12,311,261,106,226,183,313,332
ENSG00000279791.1,1,0,0,0,1,0,2
ENSG00000275655.1,0,0,0,0,0,0,0
ENSG00000135976.20,127,373,93,431,188,449,467
ENSG00000277701.5,2,5,2,6,4,12,6
ENSG00000237837.1,0,0,0,0,0,0,0
ENSG00000271351.1,0,0,0,0,0,0,0
ENSG00000276050.1,0,0,0,0,0,0,0
ENSG00000271015.1,0,0,0,0,0,0,0
ENSG00000270252.1,0,0,0,0,0,0,0
ENSG00000271569.1,0,0,0,0,0,0,0
ENSG00000270450.1,0,0,0,0,0,0,0
ENSG00000278537.1,0,0,0,0,0,0,0
ENSG00000270187.1,0,0,0,0,0,0,0
ENSG00000230606.11,43,162,34,142,67,190,183
ENSG00000278766.2,0,0,0,0,0,0,0
ENSG00000196912.12,79,176,61,215,101,160,174
ENSG00000235833.1,0,1,0,0,0,0,0
ENSG00000286036.1,0,0,0,0,0,0,0
ENSG00000228970.6,0,0,0,0,0,0,1
ENSG00000135940.7,2350,1742,998,1869,1822,2636,2815
ENSG00000115073.8,1628,1644,866,1687,1956,1217,1365
ENSG00000228486.10,39,92,29,92,69,107,109
ENSG00000201806.1,0,0,0,0,0,0,0
ENSG00000115085.14,3,7,2,4,5,4,8
ENSG00000075568.17,2643,3193,1340,2966,3158,5017,5059
ENSG00000235734.4,38,21,9,20,22,16,12
ENSG00000238719.1,0,0,0,0,0,0,0
ENSG00000168658.19,1,0,0,0,0,6,6
ENSG00000231635.1,0,0,0,0,0,0,0
ENSG00000222000.7,0,0,0,0,0,7,3
ENSG00000144191.12,0,0,0,0,0,7,2
ENSG00000227987.1,0,0,0,0,0,0,0
ENSG00000040933.16,717,895,369,922,978,1711,1609
ENSG00000183513.9,591,580,285,716,548,613,745
ENSG00000115446.12,1270,1124,496,913,1181,1385,1452
ENSG00000071073.13,58,96,50,145,197,28,82
ENSG00000236564.1,0,0,0,0,0,0,0
ENSG00000226791.7,0,0,0,0,0,0,0
ENSG00000201070.1,0,0,0,0,0,0,0
ENSG00000196872.12,145,163,111,237,94,378,376
ENSG00000238830.1,0,0,0,0,0,0,0
ENSG00000135951.16,52,62,25,81,52,75,87
ENSG00000231822.1,9,9,4,7,8,3,3
ENSG00000273045.6,2,3,5,6,10,4,2
ENSG00000241962.9,1,5,1,2,4,6,8
ENSG00000144182.17,127,109,69,143,94,87,105
ENSG00000273155.1,0,0,0,0,0,0,0
ENSG00000158411.11,505,536,223,539,387,436,471
ENSG00000185414.20,834,736,339,767,783,948,990
ENSG00000185674.9,0,2,0,1,0,0,0
ENSG00000144214.10,21,30,11,24,18,27,32
ENSG00000115514.12,833,708,336,691,853,1554,1615
ENSG00000158417.11,5140,4598,2156,4227,4468,3904,5053
ENSG00000135945.10,1027,1177,460,1107,1142,1248,1353
ENSG00000273306.1,10,11,6,10,10,12,16
ENSG00000144218.19,2752,3569,1132,2479,2872,1614,1370
ENSG00000230393.1,12,19,6,18,6,6,9
ENSG00000232084.5,0,1,0,0,0,0,0
ENSG00000170500.13,117,203,126,327,433,308,343
ENSG00000269383.2,0,0,0,0,0,0,0
ENSG00000270699.1,0,0,0,0,0,0,0
ENSG00000115526.11,421,404,229,466,417,496,508
ENSG00000238029.1,0,1,0,0,0,1,0
ENSG00000204640.1,0,0,0,0,0,0,0
ENSG00000204637.4,1,1,0,0,2,3,1
ENSG00000115539.14,472,360,217,363,421,665,625
ENSG00000227259.2,0,0,0,0,0,0,0
ENSG00000234988.2,0,0,0,0,0,0,0
ENSG00000287832.1,0,2,0,2,1,0,0
ENSG00000226034.2,0,0,0,0,0,0,0
ENSG00000234169.1,0,0,0,0,0,0,0
ENSG00000228488.1,1,0,0,2,0,0,0
ENSG00000286737.1,0,0,0,0,0,0,0
ENSG00000170485.17,1078,1361,374,834,1200,1124,1247
ENSG00000232034.1,1,2,0,6,4,6,1
ENSG00000230140.7,13,2,2,9,2,8,4
ENSG00000223947.1,0,0,2,2,4,1,0
ENSG00000071082.11,17424,13649,7049,13240,16079,10872,13558
ENSG00000204634.12,226,264,120,265,271,119,103
ENSG00000271532.1,0,0,0,0,0,0,0
ENSG00000272902.2,16,28,11,21,14,12,16
ENSG00000158435.8,1654,1532,695,1440,1563,1729,1731
ENSG00000163162.9,1485,1492,581,1264,1433,1988,1829
ENSG00000212283.1,1,2,1,0,0,0,1
ENSG00000264857.1,0,0,0,0,0,0,0
ENSG00000175874.10,1,7,1,1,0,5,1
ENSG00000226058.1,0,0,0,0,0,0,0
ENSG00000196460.14,23,27,16,41,24,39,22
ENSG00000223826.1,0,0,0,0,0,0,0
ENSG00000237549.1,0,0,0,0,0,0,0
ENSG00000232556.1,0,0,0,0,0,0,0
ENSG00000286047.1,0,0,0,0,0,0,0
ENSG00000286101.1,0,2,0,0,0,0,0
ENSG00000071054.16,7480,9014,4024,9089,7811,17710,16787
ENSG00000281162.2,0,0,0,0,0,0,1
ENSG00000115590.14,0,0,0,0,1,0,2
ENSG00000287771.1,0,0,0,1,1,0,0
ENSG00000115594.12,558,709,377,828,517,523,748
ENSG00000226925.1,0,0,0,0,0,0,0
ENSG00000115598.10,6,7,7,12,0,1,6
ENSG00000205716.4,0,0,0,0,0,0,0
ENSG00000115602.17,0,0,0,0,0,0,1
ENSG00000115604.10,47,51,12,22,43,118,137
ENSG00000236785.1,0,0,0,0,0,0,0
ENSG00000115607.9,0,0,0,0,0,0,1
ENSG00000264764.1,0,0,0,0,0,0,0
ENSG00000236525.1,0,0,0,0,0,0,0
ENSG00000234389.1,0,0,0,0,0,0,0
ENSG00000180251.5,9,6,2,2,4,3,1
ENSG00000115616.3,4,7,3,5,7,3,2
ENSG00000135953.11,286,308,127,307,337,398,391
ENSG00000170417.16,78,80,49,105,79,301,300
ENSG00000277527.2,0,0,0,0,0,2,0
ENSG00000224095.1,0,0,0,0,0,0,0
ENSG00000227680.1,0,0,0,0,0,1,0
ENSG00000229209.1,0,0,0,0,0,0,0
ENSG00000227623.1,0,0,0,0,0,0,0
ENSG00000286290.1,1,0,0,0,0,0,0
ENSG00000236596.1,0,0,0,0,0,0,0
ENSG00000221849.2,0,0,0,0,0,0,0
ENSG00000231723.1,0,0,0,0,0,0,0
ENSG00000232597.6,0,0,0,0,0,0,0
ENSG00000236141.2,0,0,0,0,0,0,0
ENSG00000256637.7,0,0,0,0,0,0,0
ENSG00000273515.1,0,0,0,0,0,0,0
ENSG00000228968.1,0,0,0,0,0,0,0
ENSG00000233955.1,0,0,0,0,0,0,0
ENSG00000227157.2,0,0,0,0,0,0,0
ENSG00000225765.2,0,0,0,0,0,0,0
ENSG00000287793.1,0,0,0,0,0,0,0
ENSG00000235597.2,8,7,8,18,12,0,4
ENSG00000234781.2,0,0,0,0,0,0,0
ENSG00000231626.1,0,0,0,0,0,0,0
ENSG00000236109.2,0,0,0,0,0,0,0
ENSG00000288565.1,0,0,0,0,0,1,0
ENSG00000230690.2,0,0,0,0,0,1,0
ENSG00000225669.1,0,0,0,0,0,0,0
ENSG00000228528.2,4,3,3,9,2,2,1
ENSG00000279904.1,0,0,0,0,0,0,0
ENSG00000207249.1,0,0,0,0,0,0,0
ENSG00000234177.5,0,0,1,2,2,10,12
ENSG00000213301.2,0,0,0,0,0,0,0
ENSG00000233639.7,62,68,28,62,86,235,316
ENSG00000269707.2,2,6,0,3,7,0,0
ENSG00000198914.5,970,898,357,771,959,2839,3274
ENSG00000229743.4,13,19,4,13,12,0,5
ENSG00000287135.1,1,0,1,0,0,1,0
ENSG00000224509.2,1,2,0,0,1,1,2
ENSG00000135972.9,567,525,265,539,569,571,635
ENSG00000231851.6,0,1,1,3,0,2,1
ENSG00000226508.1,0,0,0,0,1,3,5
ENSG00000135973.3,0,0,0,0,0,0,0
ENSG00000272861.1,1,2,4,3,4,6,11
ENSG00000135966.13,939,990,423,998,1025,2182,2283
ENSG00000235319.1,0,2,0,3,1,2,1
ENSG00000272994.1,32,41,21,53,35,42,45
ENSG00000135974.10,698,798,399,790,866,1115,1103
ENSG00000115641.19,1039,909,324,620,1231,6582,7946
ENSG00000238273.3,0,0,2,0,0,0,0
ENSG00000287036.1,0,0,0,0,1,0,0
ENSG00000287308.1,0,0,0,0,0,0,0
ENSG00000071051.14,1892,1800,920,1608,2364,2300,2049
ENSG00000235522.6,4,4,0,0,1,0,1
ENSG00000234162.3,0,0,0,0,0,0,0
ENSG00000119147.10,1037,777,744,1054,1117,0,5
ENSG00000115652.15,1324,1200,749,1616,1663,3286,3394
ENSG00000233339.1,0,0,0,0,0,0,0
ENSG00000273595.1,0,0,0,0,0,0,0
ENSG00000213295.3,0,0,0,0,0,1,0
ENSG00000224061.1,0,0,0,0,0,0,0
ENSG00000230353.5,0,0,0,0,0,0,0
ENSG00000233939.1,0,0,0,0,0,0,0
ENSG00000227513.1,0,1,0,0,0,0,0
ENSG00000229682.1,0,0,0,0,0,0,0
ENSG00000235486.1,1,0,0,0,0,0,0
ENSG00000240935.6,0,0,0,0,0,0,0
ENSG00000153165.19,11,15,6,21,13,24,21
ENSG00000237666.2,0,0,0,0,2,1,0
ENSG00000254126.8,0,0,0,0,0,0,0
ENSG00000232001.2,0,0,0,0,0,0,0
ENSG00000231505.1,0,0,0,0,0,0,0
ENSG00000214199.3,278,249,141,163,301,88,97
ENSG00000144057.15,57,85,20,45,43,3421,1730
ENSG00000238250.1,0,0,0,0,0,11,7
ENSG00000227294.1,0,0,0,0,0,0,0
ENSG00000286218.2,0,0,0,0,0,0,0
ENSG00000229360.1,0,0,0,0,0,0,0
ENSG00000226905.1,0,0,0,0,0,0,0
ENSG00000229457.1,0,0,0,0,0,0,0
ENSG00000225588.2,0,0,0,0,0,0,0
ENSG00000237880.2,0,1,0,1,0,0,1
ENSG00000224568.2,0,1,0,0,0,1,0
ENSG00000286769.1,0,0,0,0,0,0,0
ENSG00000232991.5,0,0,0,0,0,0,0
ENSG00000230651.8,0,0,0,0,0,0,0
ENSG00000196862.10,42,44,24,37,49,58,69
ENSG00000233494.1,0,0,0,0,0,0,0
ENSG00000227270.1,0,0,0,0,0,0,0
ENSG00000237745.1,0,0,0,0,1,0,0
ENSG00000235325.1,0,0,0,0,0,0,0
ENSG00000115665.9,0,0,0,0,0,0,0
ENSG00000231221.1,2,0,1,6,0,0,1
ENSG00000229890.1,0,0,0,0,0,0,0
ENSG00000225328.2,13,20,1,25,1,3,1
ENSG00000236877.2,0,0,1,0,0,0,1
ENSG00000196228.3,0,0,0,0,0,0,0
ENSG00000227597.1,0,0,0,0,0,0,0
ENSG00000198203.10,950,1535,415,1164,703,49,70
ENSG00000261209.1,0,0,1,3,0,0,1
ENSG00000237223.6,6,13,1,7,4,0,3
ENSG00000271070.1,0,0,0,0,0,1,0
ENSG00000198075.10,57,62,106,196,62,138,131
ENSG00000271284.1,0,0,0,0,0,0,0
ENSG00000135968.21,1499,1916,774,1980,1666,2061,2420
ENSG00000214184.3,23,21,10,17,18,33,29
ENSG00000169756.16,4935,5145,2536,4879,4504,10225,9455
ENSG00000228763.1,0,0,0,0,0,0,0
ENSG00000233648.1,0,0,0,0,0,0,0
ENSG00000235644.1,0,0,0,0,0,0,1
ENSG00000153201.16,3624,4657,1902,4590,4381,6108,7336
ENSG00000163006.12,147,159,74,182,153,71,69
ENSG00000227470.1,2,4,3,8,10,3,5
ENSG00000135960.10,7,9,2,0,1,0,0
ENSG00000277628.1,0,0,0,0,0,0,1
ENSG00000259863.1,11,14,4,7,7,57,62
ENSG00000172985.11,608,709,184,343,580,2205,2131
ENSG00000264934.1,0,0,0,0,0,0,0
ENSG00000228551.1,0,1,0,0,0,2,0
ENSG00000265965.1,0,0,0,0,0,0,0
ENSG00000186522.15,2479,2349,1186,2387,2707,3258,3301
ENSG00000237916.1,0,0,0,0,0,0,0
ENSG00000230696.1,0,0,0,1,0,2,0
ENSG00000198142.5,657,760,287,543,576,978,860
ENSG00000230603.1,0,0,0,0,0,0,0
ENSG00000231099.1,0,0,0,0,0,1,0
ENSG00000233307.1,0,0,0,0,0,0,0
ENSG00000233707.3,0,0,1,0,0,0,0
ENSG00000282033.1,0,0,0,0,0,0,0
ENSG00000015568.13,4,4,3,4,1,2,7
ENSG00000256977.12,0,0,0,0,0,0,0
ENSG00000284337.1,0,0,0,0,0,0,0
ENSG00000186148.13,0,0,0,0,0,0,1
ENSG00000283684.1,0,0,0,0,0,0,0
ENSG00000240069.1,0,0,0,0,0,0,0
ENSG00000225108.1,0,0,0,0,0,0,0
ENSG00000204588.5,5,2,2,6,7,11,23
ENSG00000235721.1,0,0,0,0,0,0,0
ENSG00000229730.2,0,0,0,0,0,0,0
ENSG00000283283.2,0,0,0,0,0,0,0
ENSG00000265682.1,0,0,0,0,0,0,0
ENSG00000144063.4,43,64,50,134,73,1,2
ENSG00000264979.1,0,0,0,1,0,0,0
ENSG00000144061.14,167,196,91,220,149,227,212
ENSG00000233370.1,0,0,0,0,0,0,0
ENSG00000175701.10,244,178,135,237,309,296,349
ENSG00000261760.8,0,0,0,0,0,0,0
ENSG00000282304.1,0,0,0,0,0,0,0
ENSG00000282785.1,0,0,0,0,0,0,0
ENSG00000263881.1,0,0,0,0,0,0,0
ENSG00000283167.2,0,0,0,0,0,0,0
ENSG00000226991.2,0,0,0,0,0,0,0
ENSG00000230650.1,0,2,1,0,2,0,1
ENSG00000175772.11,10,8,5,13,6,9,19
ENSG00000226065.1,0,0,0,0,0,0,0
ENSG00000230596.3,6,13,4,15,12,24,13
ENSG00000273471.1,0,0,0,0,0,0,0
ENSG00000184115.17,2,0,0,0,0,0,0
ENSG00000257207.5,0,0,0,0,0,0,0
ENSG00000256671.6,0,0,0,0,0,3,1
ENSG00000227574.2,0,0,0,0,0,0,0
ENSG00000231583.1,0,0,0,0,0,0,0
ENSG00000183054.11,1,3,0,1,0,3,0
ENSG00000231536.1,0,0,0,0,0,0,0
ENSG00000216867.2,1,0,1,0,0,0,0
ENSG00000169679.15,239,237,91,196,300,31,29
ENSG00000235881.2,0,0,0,0,0,0,0
ENSG00000153093.19,1,1,4,1,0,0,0
ENSG00000236330.1,18,20,7,12,23,3,3
ENSG00000172965.17,443,527,139,335,425,1777,1468
ENSG00000204581.3,23,16,7,20,9,1,4
ENSG00000153094.24,848,943,906,1793,544,109,84
ENSG00000230499.1,0,0,0,0,0,0,0
ENSG00000227992.1,22,28,11,21,26,102,91
ENSG00000271590.1,12,25,1,17,13,33,44
ENSG00000229118.1,0,0,0,0,0,0,0
ENSG00000270190.1,0,0,0,1,0,0,1
ENSG00000226928.1,2,0,0,0,0,1,1
ENSG00000266139.2,0,0,0,0,0,0,0
ENSG00000223973.2,4,5,0,2,1,1,6
ENSG00000285016.1,0,1,0,2,1,0,0
ENSG00000280878.1,0,0,0,0,0,0,0
ENSG00000240350.3,1,0,2,0,1,3,3
ENSG00000271635.1,1,0,0,0,1,0,0
ENSG00000225744.1,0,0,0,0,0,0,0
ENSG00000153107.13,579,773,320,693,790,1397,1429
ENSG00000237583.1,0,0,0,0,0,0,0
ENSG00000227842.1,0,0,0,0,0,0,0
ENSG00000228615.1,0,0,0,0,0,0,0
ENSG00000266063.1,0,0,0,0,0,0,0
ENSG00000230958.1,0,0,0,0,0,0,0
ENSG00000236307.2,4,5,0,4,2,1,0
ENSG00000153208.17,170,191,95,210,253,48,37
ENSG00000240183.3,0,0,0,0,0,0,0
ENSG00000225496.1,2,0,2,1,1,2,4
ENSG00000232277.1,0,0,0,0,0,0,0
ENSG00000286904.1,2,0,2,2,2,1,1
ENSG00000153214.11,1611,1750,615,1333,1600,3396,3224
ENSG00000287141.1,0,0,0,0,0,0,0
ENSG00000144152.13,12,16,9,35,138,10,6
ENSG00000278962.1,4,2,7,10,26,2,5
ENSG00000144161.13,334,368,206,393,339,397,388
ENSG00000286545.1,0,0,0,0,1,0,0
ENSG00000188177.14,321,469,179,400,453,462,451
ENSG00000235258.1,0,0,0,0,0,0,0
ENSG00000236555.1,0,0,0,0,0,0,1
ENSG00000169629.12,51,47,31,73,58,68,76
ENSG00000283698.1,0,0,0,0,0,1,0
ENSG00000114999.8,2498,2803,1101,2482,2582,3429,3106
ENSG00000125630.16,929,979,420,839,924,830,938
ENSG00000207383.1,1,1,0,2,2,1,2
ENSG00000125611.15,307,264,99,196,180,197,242
ENSG00000243389.1,1,2,1,4,3,1,0
ENSG00000228251.1,1,3,1,1,4,3,2
ENSG00000231747.1,6,1,1,5,6,6,3
ENSG00000237753.2,46,60,21,47,36,62,61
ENSG00000144136.11,5085,5580,1844,4060,3723,31034,32857
ENSG00000144130.11,0,0,0,0,0,0,1
ENSG00000169607.13,254,256,72,192,301,5,7
ENSG00000115008.6,48,42,2,11,18,7,5
ENSG00000287937.1,0,0,1,0,0,0,0
ENSG00000125538.12,2,8,0,2,0,0,0
ENSG00000280228.1,0,1,0,0,0,0,0
ENSG00000180152.3,0,0,0,0,0,0,0
ENSG00000125571.9,0,1,0,0,1,0,0
ENSG00000227368.1,0,1,0,0,0,0,0
ENSG00000136688.11,1,2,0,0,0,0,0
ENSG00000236124.1,0,0,0,0,0,0,0
ENSG00000232090.2,0,0,0,0,0,0,0
ENSG00000136694.9,0,0,0,0,0,0,0
ENSG00000136696.11,12,6,5,3,2,1,2
ENSG00000136695.15,6,4,1,2,0,0,0
ENSG00000136697.13,0,0,0,0,0,0,0
ENSG00000201805.1,0,0,0,0,0,0,0
ENSG00000136689.18,3,4,2,5,7,0,0
ENSG00000125637.16,488,536,258,585,334,71,57
ENSG00000234174.1,0,0,0,0,0,0,0
ENSG00000189223.15,59,82,1461,3819,61,21,22
ENSG00000125618.17,46,44,152,236,24,6,19
ENSG00000234997.2,38,34,30,87,89,18,21
ENSG00000231292.6,4,2,0,5,5,1,1
ENSG00000272563.1,3,23,2,35,31,5,7
ENSG00000136682.15,406,390,228,425,445,586,614
ENSG00000184492.6,2,8,5,11,7,1,0
ENSG00000234148.3,0,0,0,0,0,0,0
ENSG00000231943.9,0,0,0,0,0,0,0
ENSG00000225398.3,0,0,0,0,0,1,0
ENSG00000226516.7,0,0,0,0,0,0,0
ENSG00000287165.1,0,1,0,0,0,0,0
ENSG00000221055.1,0,0,0,0,0,0,0
ENSG00000146556.14,150,145,98,224,142,106,139
ENSG00000236397.3,2,2,2,5,2,26,38
ENSG00000279267.1,6,13,9,8,24,59,55
ENSG00000240356.6,68,76,44,101,137,521,460
ENSG00000144134.18,224,289,109,299,265,283,287
ENSG00000144158.4,6,7,4,3,8,12,5
ENSG00000175509.8,0,0,1,0,0,0,2
ENSG00000233479.1,0,0,0,0,0,0,0
ENSG00000227359.1,4,4,1,1,5,20,28
ENSG00000202427.1,0,0,0,0,0,0,0
ENSG00000115084.15,3499,3652,1507,3245,4210,7900,7778
ENSG00000265429.3,0,2,0,0,0,0,1
ENSG00000244063.1,1,0,2,4,4,1,7
ENSG00000228857.2,3,1,1,0,3,6,6
ENSG00000270019.1,3,7,2,12,5,13,3
ENSG00000115091.12,4811,4757,1935,4076,4214,12633,11908
ENSG00000279957.1,0,0,0,3,0,0,0
ENSG00000234199.3,1,3,0,2,3,8,16
ENSG00000243179.1,0,0,0,0,0,0,1
ENSG00000212182.2,0,0,0,0,0,0,0
ENSG00000286513.1,0,0,0,0,0,0,0
ENSG00000235242.1,0,0,0,0,0,0,0
ENSG00000231926.1,0,0,0,0,0,0,0
ENSG00000222923.1,0,0,0,0,0,0,0
ENSG00000175497.17,0,0,0,0,3,29,14
ENSG00000231538.1,0,0,0,0,0,0,0
ENSG00000235717.1,0,0,0,0,0,0,0
ENSG00000286776.1,0,0,0,0,0,0,0
ENSG00000235026.6,0,0,0,0,0,3,1
ENSG00000230391.1,0,0,0,0,0,0,0
ENSG00000287451.1,0,0,0,0,0,0,0
ENSG00000271667.1,0,0,0,0,0,0,0
ENSG00000224869.1,0,0,0,0,0,0,0
ENSG00000226341.1,0,0,0,0,0,0,0
ENSG00000235871.1,0,0,0,0,0,0,0
ENSG00000230158.1,0,0,0,0,0,0,0
ENSG00000230950.1,0,0,0,0,0,0,0
ENSG00000228898.1,0,0,0,0,0,0,0
